Location,Price,Beds,Baths,Area,Parking,Elevators
Gulshan,30000000,4,5,2600,1,1
Gulshan,32000000,3,4,2283,1,1
Dhanmondi,7000000,3,3,1280,0,1
Dhanmondi,8000000,3,3,1240,0,1
Dhanmondi,11500000,3,3,1550,1,1
Dhanmondi,7000000,2,2,850,0,1
Hazaribag,11500000,3,3,1260,0,1
Hazaribag,8000000,3,3,1190,1,0
Hazaribag,6000000,3,2,990,1,0
Hazaribag,5225000,2,2,950,0,1
Hazaribag,5200000,2,2,730,0,1
Hazaribag,4500000,2,2,800,1,0
Keraniganj,4950000,3,3,1150,0,1
Keraniganj,4800000,3,3,1100,0,1
Keraniganj,3600000,3,2,1000,0,0
Keraniganj,2500000,2,3,750,0,0
Keraniganj,4400000,3,3,1380,1,0
Keraniganj,5300000,3,3,1380,1,0
Lalmatia,21000000,3,3,1975,1,1
Lalmatia,29500000,4,4,2308,1,1
Lalmatia,24000000,3,3,1860,1,1
Lalmatia,9200000,3,3,1154,1,1
Lalmatia,13500000,3,3,1570,1,1
Lalmatia,14800000,3,3,1480,1,1
Lalmatia,14000000,2,4,1600,1,1
Lalmatia,20000000,3,3,1600,1,1
Lalmatia,9000000,3,3,1400,1,1
Lalmatia,22000000,3,3,2040,1,1
Lalmatia,22000000,3,4,1590,1,1
Lalmatia,4000000,2,2,720,0,0
Lalmatia,15000000,3,3,1250,1,1
Lalmatia,20000000,4,4,1807,1,1
Lalmatia,17000000,3,3,1700,1,1
Lalmatia,8000000,3,3,1000,1,1
Lalmatia,29500000,4,4,2308,1,1
Lalmatia,30700000,3,3,2790,0,1
Lalmatia,6000000,2,2,720,0,0
Lalmatia,5000000,2,2,750,0,0
Lalmatia,36500000,4,4,2984,1,1
Lalmatia,22200000,3,3,1385,1,1
Lalmatia,22000000,3,3,1750,1,1
Lalmatia,13000000,3,3,1293,1,1
Lalmatia,22000000,3,4,1898,1,1
Lalmatia,13000000,3,3,1250,1,1
Lalmatia,25000000,3,3,1900,1,1
Lalmatia,16000000,3,4,1800,1,1
Lalmatia,18000000,3,4,1635,1,1
Lalmatia,22200000,3,4,1805,1,1
Lalmatia,38000000,4,4,1850,1,1
Lalmatia,16000000,3,3,1470,1,1
Lalmatia,26500000,3,3,1878,1,1
Banasree,4200000,2,2,820,0,0
Banasree,11500000,3,3,1700,1,1
Banasree,6900000,3,2,1015,1,0
Banasree,6700000,3,3,1100,1,1
Banasree,5700000,2,2,1070,0,1
Banasree,12000000,3,2,1500,1,1
Banasree,4900000,2,2,1005,1,1
Banasree,5225000,2,2,1050,0,0
Banasree,10500000,4,3,1720,1,1
Banasree,75000000,3,3,1220,1,0
Banasree,11000000,3,4,1720,1,1
Banasree,12600000,3,3,1660,1,1
Banasree,12500000,3,3,1640,1,1
Banasree,12900000,3,3,1700,1,1
Banasree,7500000,3,3,1730,1,0
Banasree,12900000,3,3,1700,1,0
Banasree,4500000,3,3,1000,0,0
Banasree,6200000,3,2,1077,0,1
Banasree,9400000,3,3,1415,1,1
Banasree,9500000,4,3,1445,1,1
Banasree,18600000,6,6,2860,1,0
Banasree,11500000,3,3,1597,1,1
Banasree,14200000,4,5,2350,1,1
Banasree,13500000,4,3,1921,1,1
Banasree,7350000,3,3,1450,0,1
Banasree,5600000,2,2,990,0,0
Banasree,5200000,2,2,950,0,0
Banasree,6370000,3,3,1250,1,0
Banasree,6900000,3,3,1250,1,1
Banasree,13000000,3,3,1600,1,1
Banasree,8300000,3,3,1340,1,1
Banasree,5700000,2,2,1000,0,1
Banasree,5600000,3,2,950,0,1
Banasree,5500000,3,2,1020,0,0
Banasree,6600000,3,3,1150,0,0
Banasree,7000000,3,3,1150,0,1
Banasree,11700000,3,3,1500,1,1
Banasree,7000000,3,2,1150,1,0
Banasree,9200000,4,3,1436,0,1
Banasree,10000000,3,3,1495,1,1
Banasree,11500000,4,3,1625,1,1
Banasree,6700000,3,3,1112,1,0
Banasree,7500000,4,3,1350,0,1
Banasree,12000000,3,3,1500,1,1
Banasree,11000000,4,3,1625,1,1
Banasree,7000000,3,3,1000,0,1
Banasree,11500000,4,4,1820,1,1
Banasree,9500000,4,3,1420,1,1
Adabor,21500000,3,3,2315,1,1
Adabor,9300000,3,3,1450,0,1
Adabor,12200000,3,3,1600,0,1
Bashbari,3800000,2,2,785,0,1
Mohammadpur,7200000,3,4,1476,1,0
Mohammadpur,7200000,3,3,1160,0,1
Adabor,10800000,4,3,1530,1,1
Adabor,6500000,2,2,800,0,1
Adabor,5330000,3,2,1050,0,1
Adabor,5575000,3,2,1075,1,1
Adabor,9950000,3,3,1480,0,1
Mohammadpur,9300000,4,4,1750,0,1
Adabor,3800000,2,2,750,1,0
Adabor,13200000,3,3,1778,1,1
Farmgate,20000000,3,3,1860,1,1
Farmgate,13500000,3,3,1455,1,0
Farmgate,10000000,3,2,1260,1,0
Chaduddan,2200000,3,3,1235,0,1
Chaduddan,2300000,3,3,1235,0,1
Agargaon,6500000,2,2,1300,0,0
Agargaon,7199500,3,3,1309,0,1
Agargaon,4500000,3,2,1000,0,1
Agargaon,5500000,3,3,1250,0,0
Agargaon,6200000,3,3,910,0,0
Agargaon,6500000,3,3,1250,1,1
Agargaon,6500000,3,3,1258,1,1
Agargaon,4300000,3,2,1000,0,1
Agargaon,6500000,3,2,1250,1,1
Agargaon,6000000,3,3,900,0,0
Savar,2780000,2,2,760,0,0
Savar,3150000,2,2,850,0,0
Savar,3150000,2,2,850,0,0
Savar,4750000,3,3,1250,0,0
Savar,4300000,3,2,1150,0,1
Savar,4750000,3,3,1250,0,0
Savar,3360000,2,2,860,0,0
Savar,7000000,3,3,1620,0,1
Kalabagan,11000000,3,2,1250,1,1
Kalabagan,25500000,4,4,2750,1,1
Kalabagan,4000000,2,2,710,0,0
Kalabagan,9435000,3,3,1265,1,1
Kalabagan,15200000,3,3,1560,0,1
Kalabagan,12000000,2,2,1123,0,1
Kalabagan,7000000,2,2,642,0,1
Kalabagan,5500000,2,2,760,0,1
Kalabagan,11500000,3,3,1625,1,1
Shymoli,9000000,2,2,1100,0,1
Shymoli,8600000,2,2,1050,0,1
Shymoli,12600000,3,3,1550,0,1
Shymoli,9000000,3,3,1400,1,1
Banani,19000000,3,3,1545,1,1
Banani,25000000,3,3,2221,1,1
Banani,28000000,3,3,2199,1,1
Banani,22500000,3,3,1736,1,1
Banani,17200000,2,3,1663,1,1
Banani,20000000,3,4,1920,1,1
Banani,45000000,4,4,3190,1,1
Banani,35000000,3,3,2512,1,2
Banani,18000000,3,2,1418,1,1
Banani,32000000,3,4,2141,1,2
Banani,16800000,3,3,1698,1,1
Banani,25000000,3,3,2301,1,1
Banani,13500000,3,3,1240,1,1
Banani,27000000,3,3,2300,1,1
Banani,24000000,3,3,2085,1,1
Banani,39000000,3,3,3021,1,1
Banani,33000000,3,4,2520,1,1
Banani,27600000,3,4,2200,2,1
Banani,27000000,3,4,2311,1,1
Banani,26000000,3,3,1850,1,1
Banani,32000000,3,4,2283,1,1
Mohakhali,10900000,3,3,1448,1,0
Mohakhali,5500000,2,2,755,1,1
Mohakhali,8200000,3,3,1171,1,1
Mohakhali,5200000,2,2,775,1,0
Mohakhali,9000000,3,3,1400,1,1
Mohakhali,5500000,2,2,850,1,0
Mohakhali,5800000,2,2,850,0,0
Mohakhali,5700000,2,2,850,0,0
Mohakhali,11300000,3,3,1512,1,0
Mohakhali,11100000,2,2,1481,1,0
Mohakhali,11000000,3,3,1466,1,0
Mohakhali,6525000,2,2,870,0,0
Mohakhali,2600000,2,2,600,0,0
Mohakhali,11500000,3,3,1400,0,0
Mohakhali,13500000,3,3,1759,1,1
Rampura,10000000,3,3,1600,0,1
Rampura,9000000,3,3,1500,1,1
Rampura,4500000,2,1,669,0,1
Rampura,12000000,4,4,1836,1,2
Rampura,7500000,3,4,1440,0,1
Rampura,5500000,3,3,1035,0,1
Rampura,8500000,3,3,1350,1,1
Rampura,8000000,3,3,1350,0,1
Rampura,5200000,3,2,990,1,0
Rampura,7800000,3,3,1450,1,1
Rampura,6700000,3,3,1340,0,1
Rampura,7300000,3,3,1245,1,2
Rampura,4100000,2,2,900,0,0
Mirpur,4700000,2,2,750,0,1
Mirpur,4500000,2,2,865,0,1
Mirpur,6000000,3,2,1175,1,1
Mirpur,7000000,3,3,1450,1,1
Mirpur,6700000,3,3,1300,1,1
Mirpur,4000000,3,2,1000,1,1
Mirpur,7500000,3,2,1660,1,1
Mirpur,5200000,3,2,1075,1,1
Mirpur,7500000,3,2,1320,1,1
Mirpur,18500000,3,3,2200,1,1
Mirpur,4600000,2,2,1200,1,1
Mirpur,5200000,3,2,1276,1,0
Mirpur,7400000,3,2,1230,1,2
Mirpur,7500000,3,3,1250,1,2
Mirpur,5000000,3,2,1220,0,0
Mirpur,7500000,3,3,1350,1,1
Uttara,7886000,3,2,1239,1,1
Uttara,8285000,3,2,1306,1,1
Uttara,8170000,3,2,1288,1,1
Uttara,9200000,3,3,1450,1,1
Uttara,16000000,3,3,2004,1,1
Uttara,12000000,3,3,1170,0,1
Uttara,7781800,3,8,1221,1,1
Uttara,6600000,2,3,1023,1,1
Uttara,8602000,3,2,1317,1,1
Uttara,7816600,3,2,1227,1,1
Uttara,4900000,3,2,1120,0,0
Uttara,9300000,3,3,1517,1,1
Uttara,7816600,3,2,1227,1,1
Uttara,7886200,3,3,1239,1,1
Uttara,5500000,1,1,614,0,1
Kafrul,8000000,3,2,1400,1,1
Kafrul,17000000,3,3,224,0,1
Kafrul,7850000,3,3,1490,1,1
Kafrul,9421000,3,3,1455,1,1
Kafrul,8175000,3,3,1255,1,1
Kafrul,8250000,3,3,1570,1,1
Kafrul,6300000,3,3,1050,0,2
Kafrul,10360000,3,3,2075,1,1
Kafrul,3500000,2,2,650,0,1
Kafrul,9000000,3,3,1385,1,1
Kafrul,6875000,3,3,1250,1,1
Kafrul,6875000,3,3,1275,0,1
Kafrul,21400000,5,5,2752,2,1
Kafrul,9800000,4,4,1750,1,1
Kafrul,9500000,3,2,1890,1,1
Kafrul,6050000,2,2,1100,1,1
Kafrul,11200000,4,4,2250,1,1
Kafrul,6625000,3,3,1250,0,1
Kafrul,5500000,3,2,1060,0,1
Kafrul,4575000,3,2,912,0,1
Kafrul,6600000,3,3,1260,1,1
Kafrul,2826000,2,2,628,0,0
Kafrul,6500000,3,3,1350,1,1
Kafrul,7850000,3,3,1490,1,1
Kafrul,7675000,3,3,1450,1,1
Kafrul,8250000,3,3,1570,1,1
Kafrul,10000000,3,3,2075,1,1
Kafrul,2475000,2,2,575,0,0
Kafrul,5775000,2,2,1050,1,1
Kafrul,6966000,3,3,1548,0,1
Tejgaon,14000000,3,3,1796,0,2
Tejgaon,4200000,2,2,720,0,0
Tejgaon,21000000,3,4,1765,1,2
Tejgaon,4500000,3,2,960,0,0
Tejgaon,5200000,3,2,800,0,0
Tejgaon,7500000,3,3,1100,0,0
Tejgaon,6200000,3,2,910,0,0
Tejgaon,10500000,3,3,1365,1,1
Tejgaon,23500000,4,4,2200,1,1
Tejgaon,9000000,3,2,1165,1,1
Tejgaon,25000000,3,3,2016,0,2
Tejgaon,8300000,3,3,1316,0,1
Tejgaon,8016000,3,3,1316,1,1
Tejgaon,8300000,3,3,1316,0,1
Tejgaon,20000000,3,3,1860,1,2
Tejgaon,5800000,3,2,910,0,0
Tejgaon,8016000,3,2,1336,0,1
Tejgaon,6056700,3,3,975,0,1
Tejgaon,8300000,3,3,1336,0,1
Tejgaon,7800000,3,3,1150,1,1
Tejgaon,13000000,3,3,1310,1,1
Tejgaon,7500000,2,2,975,1,1
Tejgaon,9000000,3,3,1370,1,1
Tejgaon,5000000,2,2,735,0,0
Tejgaon,5000000,2,2,1060,0,0
Tejgaon,12000000,2,2,985,1,1
Tejgaon,8677500,3,2,1517,1,1
Tejgaon,6000000,2,2,820,0,0
Tejgaon,5500000,2,2,800,1,1
Tejgaon,6380000,3,2,1620,1,2
Tejgaon,3500000,2,2,750,0,0
Tejgaon,9660000,3,3,1380,1,1
Tejgaon,7500000,3,3,1160,0,1
Tejgaon,10300000,3,3,1380,0,1
Tejgaon,13279000,3,3,1897,1,1
Tejgaon,11900000,4,4,1750,1,1
Tejgaon,4100000,2,1,735,0,0
Tejgaon,7600000,3,3,1250,1,1
Tejgaon,8300000,3,3,1336,0,1
Tejgaon,9000000,3,3,1350,1,1
Khilgaon,6200000,3,3,1188,1,1
Khilgaon,8200000,3,3,1200,0,1
Khilgaon,8200000,3,3,1200,0,1
Khilgaon,7400000,3,3,1450,0,1
Khilgaon,5300000,2,2,850,0,1
Khilgaon,6600000,3,3,1215,1,2
Khilgaon,4400000,2,2,850,0,1
Khilgaon,5000000,2,2,950,0,1
Khilgaon,4000000,2,2,600,0,1
Khilgaon,5900000,3,2,1040,0,1
Khilgaon,5700000,3,2,1200,0,1
Khilgaon,8000000,3,3,1085,0,1
Khilgaon,8328000,3,2,1041,0,1
Khilgaon,5500000,3,3,1250,0,1
Khilgaon,16000000,3,3,1750,1,1
Khilgaon,13500000,3,3,1400,0,1
Khilgaon,5500000,3,2,1050,1,1
Khilgaon,5000000,3,2,890,1,1
Khilgaon,4000000,2,2,700,0,1
Khilgaon,5695000,3,3,1340,0,3
Khilgaon,5907500,3,3,1390,0,1
Khilgaon,7500000,2,2,1075,0,1
Khilgaon,8500000,3,2,1175,1,1
Khilgaon,8500000,2,2,1000,1,1
Khilgaon,4200000,2,2,825,0,1
Khilgaon,5525000,3,3,1300,0,3
Khilgaon,6800000,3,3,1100,0,1
Khilgaon,5500000,3,3,1200,0,1
Khilgaon,6500000,3,2,900,0,0
Khilgaon,7500000,3,3,1140,0,1
Khilgaon,3800000,2,2,800,0,0
Khilgaon,7000000,3,3,1365,0,1
Khilgaon,6200000,3,3,1268,0,1
Khilgaon,5500000,3,2,1050,0,1
Khilgaon,13500000,4,4,1850,0,1
Khilgaon,4800000,3,2,1010,1,1
Khilgaon,3300000,2,2,750,0,0
Khilgaon,4500000,2,2,984,1,1
Khilgaon,7200000,3,3,1250,1,0
Khilgaon,3800000,2,2,910,1,1
Khilgaon,6700000,3,3,1250,0,2
Khilgaon,4440000,3,2,1110,0,1
Khilgaon,4500000,3,2,1125,0,1
Khilgaon,4400000,3,2,1100,0,1
Khilgaon,7500000,3,3,1244,0,0
Khilgaon,3200000,2,2,912,0,1
Khilgaon,5500000,3,2,1152,0,1
Khilgaon,3200000,2,2,700,0,1
Khilgaon,6400000,3,3,1150,0,1
Khilgaon,2800000,2,2,800,0,0